"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,3.36342480101553,0.825,0.308,0,"LINGO1"
0,2.72825003432817,0.485,0.161,0,"HSPA1A"
4.80527493532182e-253,2.60154342495279,0.275,0.057,5.21372330482417e-249,"FKBP5"
9.55517177071817e-245,2.55608112609031,0.298,0.077,1.03673613712292e-240,"BOK"
0,2.04172454433851,0.68,0.4,0,"NEAT1"
1.4385675437752e-217,2.0282773641269,0.36,0.138,1.56084578499609e-213,"DNAJB2"
2.60810845718783e-248,1.83030559361475,0.397,0.148,2.82979767604879e-244,"GFAP"
1.17109014498177e-269,1.74993520508175,0.504,0.235,1.27063280730522e-265,"MT-ND4"
3.04381256257762e-190,1.69709282944312,0.378,0.166,3.30253663039672e-186,"HSP90AB1"
0,1.69690819751542,0.989,0.976,0,"LINC00486"
2.97193334432949e-153,1.68703059783235,0.323,0.137,3.2245476785975e-149,"MT-ATP6"
0,1.64863377138325,0.615,0.278,0,"SPP1"
