"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.16234641863479e-18,-0.281510830147789,0.213,0.285,1.26114586421874e-14,"FAF1"
2.86323234053676e-40,-0.282079965145788,0.704,0.817,3.10660708948238e-36,"MAGI2"
1.06290624373357e-13,-0.2861397872094,0.208,0.266,1.15325327445092e-09,"TSC22D4"
8.8311272162151e-10,-0.286967577371032,0.21,0.255,9.58177302959338e-06,"KAZN"
7.58275256232253e-09,-0.290139335555051,0.272,0.317,8.22728653011994e-05,"B2M"
7.20828865912445e-17,-0.295035208618154,0.186,0.251,7.82099319515003e-13,"FOXP1"
6.2153150086866e-13,-0.299250393387624,0.2,0.255,6.74361678442496e-09,"TSPAN5"
1.63560250965896e-11,-0.300676244502459,0.219,0.27,1.77462872297997e-07,"MARCKSL1"
2.82640275094203e-37,-0.30463004310673,0.39,0.515,3.0666469847721e-33,"TCF4"
3.57350328618434e-18,-0.305993084057745,0.198,0.266,3.87725106551e-14,"TNRC6A"
2.92103439123386e-17,-0.308913929740928,0.302,0.374,3.16932231448874e-13,"LIMCH1"
2.71549227726446e-10,-0.311495777762381,0.293,0.339,2.94630912083194e-06,"CREB5"
1.84150152661523e-19,-0.323111663642626,0.192,0.262,1.99802915637752e-15,"ITFG1"
8.12742803839626e-33,-0.324874494994843,0.35,0.459,8.81825942165994e-29,"MACF1"
5.75340753434862e-21,-0.334118244941853,0.254,0.332,6.24244717476825e-17,"FNBP1"
2.94845976239897e-21,-0.335159182323522,0.203,0.278,3.19907884220288e-17,"SIPA1L1"
1.26749777155544e-14,-0.339346008782751,0.252,0.314,1.37523508213765e-10,"RPL13"
1.46530948003516e-19,-0.342770197624994,0.185,0.254,1.58986078583815e-15,"FTO"
3.71590789128457e-40,-0.342861736929737,0.405,0.538,4.03176006204376e-36,"NCKAP5"
2.03963515607003e-16,-0.346061055990009,0.218,0.281,2.21300414433598e-12,"BCAS1"
2.09210184306953e-19,-0.346064813219287,0.43,0.498,2.26993049973044e-15,"ZEB2"
4.76936579748714e-24,-0.347744381362037,0.222,0.304,5.17476189027355e-20,"NF1"
3.40686932111954e-09,-0.348885632094523,0.329,0.375,3.6964532134147e-05,"CLU"
