"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
0,3.50611774246581,0.851,0.31,0,"LINGO1","Astrocyte"
0,2.9452362058545,0.552,0.162,0,"HSPA1A","Astrocyte"
0,-2.08166489827053,0.3,0.675,0,"NRXN1","Astrocyte"
0,-1.50182468068274,0.538,0.858,0,"LSAMP","Astrocyte"
0,1.76134316900625,0.986,0.978,0,"LINC00486","Astrocyte"
1.28016992881417e-305,-1.44802823266405,0.457,0.79,1.38898437276337e-301,"NTM","Astrocyte"
3.49183890252714e-295,-3.12753973232383,0.085,0.443,3.78864520924195e-291,"NKAIN3","Astrocyte"
8.24754757440398e-290,1.83240327186527,0.696,0.374,8.94858911822832e-286,"CRYAB","Astrocyte"
3.99873723154351e-268,-1.8612126735437,0.278,0.649,4.33862989622471e-264,"CTNNA2","Astrocyte"
7.10095260902315e-268,1.89196292840294,0.573,0.222,7.70453358079012e-264,"SPP1","Astrocyte"
6.55996066211387e-259,-1.69189006478171,0.262,0.624,7.11755731839355e-255,"RORA","Astrocyte"
6.04796958937633e-256,-1.86236555893989,0.311,0.649,6.56204700447331e-252,"GPM6A","Astrocyte"
3.84252182954337e-239,1.8796797380797,0.519,0.192,4.16913618505456e-235,"GFAP","Astrocyte"
1.50629058946198e-228,1.98259436046252,0.649,0.396,1.63432528956625e-224,"NEAT1","Astrocyte"
1.16179550941714e-223,-3.26708907685972,0.045,0.325,1.26054812771759e-219,"LSAMP-AS1","Astrocyte"
2.13093302518395e-216,1.90794020683106,0.543,0.236,2.31206233232458e-212,"MT-ND4","Astrocyte"
1.08401788325225e-215,-1.21193865079336,0.417,0.73,1.17615940332869e-211,"CTNND2","Astrocyte"
5.76533050654938e-214,-2.44983865147293,0.193,0.492,6.25538359960607e-210,"GPC5","Astrocyte"
1.04522417599749e-212,-1.03806633435785,0.568,0.823,1.13406823095728e-208,"LRP1B","Astrocyte"
1.4523156697398e-206,2.90099378916972,0.325,0.068,1.57576250166768e-202,"BOK","Astrocyte"
2.57421898138455e-203,2.36722972302639,0.401,0.125,2.79302759480224e-199,"DNAJB2","Astrocyte"
2.25768690196861e-202,-2.50755255539976,0.22,0.514,2.44959028863594e-198,"SLC1A2","Astrocyte"
2.97921667117772e-202,-3.97871690980014,0.017,0.257,3.23245008822782e-198,"SLC6A1-AS1","Astrocyte"
1.80020725551332e-200,-3.05715673602728,0.069,0.338,1.95322487223196e-196,"RNF219-AS1","Astrocyte"
1.64805869331413e-198,-1.8069617050018,0.155,0.464,1.78814368224583e-194,"C1orf61","Astrocyte"
6.58455538589555e-198,-1.67200903694796,0.194,0.509,7.14424259369667e-194,"FAM155A","Astrocyte"
7.81570363081649e-192,1.45873012085804,0.581,0.289,8.48003843943589e-188,"QDPR","Astrocyte"
7.96005149778267e-192,-1.58841357989629,0.226,0.535,8.6366558750942e-188,"NTRK2","Astrocyte"
1.0016538023957e-189,-2.06030481670747,0.19,0.487,1.08679437559934e-185,"APOE","Astrocyte"
1.25794213749016e-188,-0.954180701952285,0.621,0.845,1.36486721917683e-184,"NPAS3","Astrocyte"
3.28370619572817e-183,-1.46516686374355,0.211,0.519,3.56282122236506e-179,"PDE4D","Astrocyte"
6.21610795514241e-183,-1.40628405667164,0.209,0.523,6.74447713132952e-179,"RP11-384F7.2","Astrocyte"
1.28571677487827e-179,-1.16208136752612,0.367,0.662,1.39500270074292e-175,"MIR99AHG","Astrocyte"
2.48524760126361e-176,-1.61242261207678,0.251,0.554,2.69649364737102e-172,"LRRC4C","Astrocyte"
3.95413242539765e-176,-1.65015292869478,0.302,0.606,4.29023368155645e-172,"DPP10","Astrocyte"
5.18561034110803e-172,-1.28213066242484,0.303,0.601,5.62638722010221e-168,"NRG3","Astrocyte"
2.84022534564035e-165,-2.11847781300133,0.15,0.411,3.08164450001978e-161,"ADGRV1","Astrocyte"
4.16670291668407e-161,-1.98579081324571,0.115,0.374,4.52087266460221e-157,"GABRB1","Astrocyte"
1.47330965024877e-158,-2.02281455618903,0.094,0.344,1.59854097051992e-154,"CSGALNACT1","Astrocyte"
2.75513681175363e-157,-0.815820409054709,0.582,0.824,2.98932344075269e-153,"ERBB4","Astrocyte"
1.21034284535229e-152,1.64390776808176,0.495,0.249,1.31322198720724e-148,"MT-CO3","Astrocyte"
1.54240241099144e-152,-1.8805831897548,0.133,0.388,1.67350661592572e-148,"SOX6","Astrocyte"
3.63356335632453e-152,1.8831412398437,0.394,0.154,3.94241624161212e-148,"HSP90AB1","Astrocyte"
6.2397933918078e-151,-1.83026822704608,0.165,0.422,6.77017583011146e-147,"SPARCL1","Astrocyte"
1.03539395200371e-150,-1.94909055276676,0.107,0.353,1.12340243792403e-146,"PREX2","Astrocyte"
1.65995715488231e-148,-1.43060651379714,0.246,0.511,1.80105351304731e-144,"TNIK","Astrocyte"
1.26402158799655e-147,-0.432135645452625,1,1,1.37146342297626e-143,"MALAT1","Astrocyte"
7.22366564778742e-145,-1.58286140293997,0.139,0.393,7.83767722784935e-141,"SGCD","Astrocyte"
1.07881962206799e-143,1.60960072689898,0.499,0.261,1.17051928994377e-139,"MT-CO2","Astrocyte"
1.00582825173861e-142,1.38655717004428,0.518,0.272,1.09132365313639e-138,"HSP90AA1","Astrocyte"
6.62072974406941e-142,-1.38438986189861,0.245,0.51,7.18349177231531e-138,"CST3","Astrocyte"
4.06227629833679e-138,-1.47444567771656,0.199,0.458,4.40756978369542e-134,"PTPRZ1","Astrocyte"
2.80286199134197e-137,-1.88051104806183,0.1,0.329,3.04110526060604e-133,"TENM2","Astrocyte"
1.96124079310855e-135,1.37383064958613,0.584,0.388,2.12794626052278e-131,"ERBB2IP","Astrocyte"
2.39600472683937e-133,-2.31136563479991,0.067,0.275,2.59966512862072e-129,"SLC4A4","Astrocyte"
5.68231549054947e-133,-2.17974485856755,0.069,0.279,6.16531230724618e-129,"C10orf11","Astrocyte"
3.60306193714435e-131,-1.51873869888318,0.15,0.39,3.90932220180162e-127,"PTN","Astrocyte"
1.41364097542253e-130,1.92240454174397,0.354,0.136,1.53380045833344e-126,"MT-ATP6","Astrocyte"
3.40704622533466e-130,1.6248557062529,0.414,0.187,3.6966451544881e-126,"CNTN2","Astrocyte"
5.07392977020742e-128,-0.925664189166488,0.385,0.643,5.50521380067505e-124,"ADGRL3","Astrocyte"
8.03666033385057e-127,2.36516097536819,0.24,0.058,8.71977646222787e-123,"FKBP5","Astrocyte"
3.13739429274709e-126,-1.51274011840423,0.15,0.385,3.40407280763059e-122,"OPHN1","Astrocyte"
3.58959024982967e-124,-2.31342371844466,0.058,0.252,3.8947054210652e-120,"NHSL1","Astrocyte"
1.26239446445509e-123,-1.46479768158214,0.163,0.398,1.36969799393377e-119,"RP11-436D23.1","Astrocyte"
2.75376581709911e-123,-0.723283100816001,0.582,0.823,2.98783591155254e-119,"PPP2R2B","Astrocyte"
7.12248200037758e-123,-1.48748126379274,0.136,0.365,7.72789297040968e-119,"SOX5","Astrocyte"
5.70877308436067e-122,-0.686053185009748,0.553,0.798,6.19401879653132e-118,"ZBTB20","Astrocyte"
8.90716702688822e-122,-2.77112802178873,0.037,0.213,9.66427622417372e-118,"PAMR1","Astrocyte"
1.83080605466381e-120,2.34105811096899,0.246,0.066,1.98642456931023e-116,"DNAJB1","Astrocyte"
1.15827680773524e-117,1.70215565140287,0.37,0.157,1.25673033639274e-113,"MT-CYB","Astrocyte"
4.95280435521015e-117,1.61888965787202,0.311,0.11,5.37379272540301e-113,"HSPB1","Astrocyte"
3.47793975886904e-115,-1.79089100455449,0.077,0.275,3.77356463837291e-111,"KLF12","Astrocyte"
3.38724865025632e-114,-0.751512264383611,0.518,0.739,3.67516478552811e-110,"ADGRB3","Astrocyte"
3.62989736478603e-114,-1.54234389697433,0.122,0.336,3.93843864079284e-110,"LINC00461","Astrocyte"
1.9930434281843e-113,-1.40306251816871,0.169,0.394,2.16245211957996e-109,"CPE","Astrocyte"
4.06105064600235e-112,-1.91860517357917,0.098,0.295,4.40623995091255e-108,"MGAT4C","Astrocyte"
7.34340518735567e-112,-1.52158528267643,0.114,0.325,7.9675946282809e-108,"PTPRG","Astrocyte"
5.91638797559191e-111,-2.05301298158321,0.065,0.249,6.41928095351722e-107,"LRRC16A","Astrocyte"
1.18424428931965e-110,-1.10293215947874,0.234,0.474,1.28490505391182e-106,"MAML2","Astrocyte"
1.45903798452179e-110,-1.43593873033261,0.15,0.367,1.58305621320615e-106,"REV3L","Astrocyte"
2.00859389265763e-110,-1.90853205998163,0.079,0.27,2.17932437353353e-106,"ZEB1","Astrocyte"
2.93755484776104e-110,-1.36209307589261,0.171,0.393,3.18724700982073e-106,"FUT9","Astrocyte"
5.02941047373541e-110,-1.57005003643341,0.097,0.299,5.45691036400292e-106,"BRINP3","Astrocyte"
1.72962239377745e-109,-0.980119643216963,0.274,0.515,1.87664029724853e-105,"DTNA","Astrocyte"
1.53459473152579e-108,-1.32667265727879,0.178,0.4,1.66503528370548e-104,"PITPNC1","Astrocyte"
9.6293489664798e-107,1.69045057183735,0.317,0.126,1.04478436286306e-102,"CCP110","Astrocyte"
1.26941991291157e-106,-2.29254004657008,0.051,0.221,1.37732060550905e-102,"CACHD1","Astrocyte"
1.87315937439037e-106,-1.6952943537883,0.112,0.312,2.03237792121355e-102,"CACNB2","Astrocyte"
3.96268652021377e-105,-1.40241761492781,0.12,0.326,4.29951487443194e-101,"KCNMA1","Astrocyte"
7.30023881314431e-105,1.67127137251576,0.33,0.138,7.92075911226157e-101,"NDRG1","Astrocyte"
1.93950507474545e-103,-2.42434511227365,0.041,0.201,2.10436300609881e-99,"ETNPPL","Astrocyte"
4.16868695813216e-103,-1.91055939003573,0.065,0.242,4.5230253495734e-99,"TMEM108","Astrocyte"
4.69131500658101e-103,2.01733217753732,0.266,0.091,5.0900767821404e-99,"MT-ND1","Astrocyte"
2.21992435332791e-102,-1.09889502295728,0.173,0.397,2.40861792336078e-98,"NEBL","Astrocyte"
2.9483065200627e-102,-1.35151181041489,0.185,0.396,3.19891257426803e-98,"MSI2","Astrocyte"
3.17257069784478e-101,1.58716463612012,0.371,0.175,3.44223920716158e-97,"MT-ND2","Astrocyte"
3.22551167487927e-101,-1.54298579876242,0.117,0.313,3.49968016724401e-97,"APC","Astrocyte"
3.07914563261262e-99,-1.7720940873725,0.076,0.254,3.34087301138469e-95,"RP11-444D3.1","Astrocyte"
2.99952700027989e-98,-1.90660599699655,0.079,0.254,3.25448679530368e-94,"CHST11","Astrocyte"
3.83661471123617e-98,1.26351849214532,0.476,0.288,4.16272696169124e-94,"PSAP","Astrocyte"
1.0811283581681e-97,-1.11462484864057,0.175,0.392,1.17302426861239e-93,"ITPR2","Astrocyte"
1.24261166884061e-97,1.44333438232216,0.344,0.152,1.34823366069207e-93,"MYRF","Astrocyte"
4.21646229322188e-97,-1.41424482505735,0.115,0.308,4.57486158814574e-93,"RGS7","Astrocyte"
1.18580286366315e-96,-1.9388801508509,0.059,0.224,1.28659610707452e-92,"PDE7B","Astrocyte"
1.5413202633831e-96,-1.52349645186111,0.135,0.329,1.67233248577067e-92,"SLC35F1","Astrocyte"
7.87646397683509e-96,-1.6949712056089,0.078,0.253,8.54596341486607e-92,"RBMS3","Astrocyte"
1.53449780295987e-95,-1.97359551627541,0.053,0.214,1.66493011621145e-91,"C1orf21","Astrocyte"
2.84040649155358e-95,1.1769014237586,0.487,0.295,3.08184104333564e-91,"GPRC5B","Astrocyte"
3.79690882145663e-95,-0.968606790165833,0.195,0.416,4.11964607128044e-91,"NRCAM","Astrocyte"
6.35598441501469e-94,-0.878927252247296,0.291,0.518,6.89624309029093e-90,"FHIT","Astrocyte"
5.26233412448778e-93,-1.67697144060302,0.105,0.285,5.70963252506924e-89,"GLUD1","Astrocyte"
3.46321272246453e-91,-1.5287524875112,0.096,0.273,3.75758580387401e-87,"MAST4","Astrocyte"
2.47976414652344e-90,-1.63803734455089,0.084,0.255,2.69054409897793e-86,"NLGN4Y","Astrocyte"
3.16080535770341e-89,-2.06113593816135,0.075,0.237,3.4294738131082e-85,"XYLT1","Astrocyte"
4.6502458347226e-89,-1.37400943728858,0.123,0.309,5.04551673067402e-85,"PCDH7","Astrocyte"
8.38338273929216e-89,1.99139803389668,0.204,0.059,9.09597027213199e-85,"SLC6A8","Astrocyte"
1.21042700180175e-88,-1.0273457614069,0.221,0.429,1.31331329695489e-84,"CNTN1","Astrocyte"
1.80841323997972e-88,-1.57218381146594,0.082,0.251,1.962128365378e-84,"MAP3K5","Astrocyte"
5.68304577704605e-88,1.32096733408026,0.376,0.192,6.16610466809497e-84,"BIN1","Astrocyte"
8.92963903328866e-88,-1.99525439740518,0.094,0.258,9.6886583511182e-84,"LUZP2","Astrocyte"
9.09458599587327e-88,-1.20831952608582,0.33,0.52,9.86762580552249e-84,"SLC1A3","Astrocyte"
1.32227671483668e-86,-1.11597706896226,0.177,0.374,1.4346702355978e-82,"NAALADL2","Astrocyte"
1.69420365375846e-86,1.13780861275679,0.44,0.251,1.83821096432792e-82,"LAMP2","Astrocyte"
4.16355331697375e-86,-1.94976977868209,0.056,0.206,4.51745534891652e-82,"DDAH1","Astrocyte"
1.79123354689551e-85,-1.35249402229611,0.123,0.305,1.94348839838163e-81,"DCLK2","Astrocyte"
2.45849941887026e-85,-1.6054486190475,0.092,0.259,2.66747186947424e-81,"SAT1","Astrocyte"
7.49388500389281e-85,-1.64202668847458,0.067,0.225,8.1308652292237e-81,"MED12L","Astrocyte"
9.77835746353663e-85,-1.15480033199645,0.134,0.322,1.06095178479372e-80,"GRAMD3","Astrocyte"
4.39088832272903e-84,1.76254811169112,0.203,0.06,4.764113830161e-80,"XIST","Astrocyte"
7.42962659119312e-84,-1.61779302836818,0.076,0.235,8.06114485144454e-80,"LINC00511","Astrocyte"
1.5343393501874e-83,0.522432412011482,0.703,0.459,1.66475819495333e-79,"MBP","Astrocyte"
1.70272076164378e-83,1.80961595801483,0.245,0.092,1.8474520263835e-79,"PTGES3","Astrocyte"
1.74708532083496e-82,-1.00483348157339,0.224,0.423,1.89558757310594e-78,"MAPK10","Astrocyte"
3.12420425853664e-82,-1.12078840889154,0.147,0.335,3.38976162051225e-78,"FMN2","Astrocyte"
7.76400708316485e-82,-1.0918979603685,0.152,0.341,8.42394768523386e-78,"MACROD2","Astrocyte"
1.88434800639896e-81,-1.66602505640442,0.07,0.223,2.04451758694287e-77,"TOX","Astrocyte"
2.14297526892967e-81,1.59626009205554,0.264,0.106,2.32512816678869e-77,"KCNMB4","Astrocyte"
5.64747072093261e-80,-1.00511470400513,0.198,0.393,6.12750573221188e-76,"TRPS1","Astrocyte"
5.77433010304369e-80,-1.25238829116024,0.134,0.311,6.2651481618024e-76,"PCDH9-AS2","Astrocyte"
1.45490577334195e-79,1.05905455062108,0.457,0.275,1.57857276407601e-75,"ABCA2","Astrocyte"
1.68671016989123e-79,-1.22543282976494,0.166,0.349,1.83008053433198e-75,"TRPM3","Astrocyte"
5.72389533657391e-79,-1.06296575216109,0.161,0.347,6.2104264401827e-75,"PLCB1","Astrocyte"
2.31415369523441e-78,1.44067266126145,0.326,0.162,2.51085675932934e-74,"CLK1","Astrocyte"
5.6389675004964e-78,-1.61455891502912,0.079,0.232,6.11827973803859e-74,"NLGN4X","Astrocyte"
2.46999090735848e-77,1.51278556499468,0.274,0.118,2.67994013448395e-73,"SLC38A2","Astrocyte"
6.22287690562752e-77,-0.743862701993878,0.375,0.582,6.75182144260586e-73,"CADM1","Astrocyte"
1.97788318254562e-76,-1.67904184296046,0.062,0.205,2.14600325306199e-72,"TTTY14","Astrocyte"
1.97941657317863e-76,-1.69836065683609,0.067,0.211,2.14766698189881e-72,"BMPR1B","Astrocyte"
2.18144549802096e-76,-1.75633513907876,0.06,0.201,2.36686836535274e-72,"RP1-34H18.1","Astrocyte"
2.50171524275735e-76,-0.683403109724498,0.388,0.597,2.71436103839172e-72,"NFIA","Astrocyte"
1.71686915605561e-75,-1.5983344277221,0.076,0.225,1.86280303432033e-71,"AC074363.1","Astrocyte"
2.10078943048497e-75,-1.22728098605519,0.138,0.31,2.27935653207619e-71,"RYR3","Astrocyte"
6.14324795894323e-75,-1.08929647492843,0.149,0.326,6.6654240354534e-71,"ESRRG","Astrocyte"
3.36492025399025e-74,-1.40754482014789,0.074,0.222,3.65093847557942e-70,"UTY","Astrocyte"
3.47922367767487e-74,-1.19354249319336,0.144,0.316,3.77495769027723e-70,"PARD3B","Astrocyte"
4.54359347200689e-74,-0.742018434787486,0.301,0.507,4.92979891712748e-70,"FTX","Astrocyte"
9.38951445844085e-74,-1.4208134213034,0.086,0.238,1.01876231874083e-69,"DANT2","Astrocyte"
1.13846027763848e-73,-1.05403192270086,0.243,0.426,1.23522940123775e-69,"DLC1","Astrocyte"
1.18906351579257e-73,-1.23621778240039,0.18,0.352,1.29013391463494e-69,"MDGA2","Astrocyte"
1.2290662755616e-72,-1.38257529794642,0.097,0.251,1.33353690898433e-68,"SLC8A1","Astrocyte"
3.56405027801512e-72,-0.783042265688188,0.309,0.506,3.86699455164641e-68,"FBXL7","Astrocyte"
5.01635761829159e-72,-1.62561253282748,0.066,0.206,5.44274801584638e-68,"EMX2","Astrocyte"
1.22908943734959e-71,-1.04242116760681,0.163,0.339,1.33356203952431e-67,"PBX1","Astrocyte"
1.60326815310683e-71,-1.57434398449504,0.075,0.217,1.73954594612091e-67,"MGST1","Astrocyte"
1.95493036911828e-71,-1.56552336566662,0.082,0.229,2.12109945049334e-67,"LINC00499","Astrocyte"
5.64113357996377e-71,-1.03389118243187,0.153,0.326,6.12062993426069e-67,"CELF2","Astrocyte"
1.07032113984502e-70,-1.5414502845216,0.066,0.204,1.16129843673184e-66,"CDH10","Astrocyte"
7.02081344920894e-70,-1.04615268084951,0.154,0.325,7.6175825923917e-66,"SMYD3","Astrocyte"
7.55116731940931e-70,-1.49681375651923,0.071,0.211,8.1930165415591e-66,"TMEM132B","Astrocyte"
1.35492447447115e-69,-1.16117695618872,0.142,0.307,1.4700930548012e-65,"LMCD1-AS1","Astrocyte"
3.11292345949342e-69,-1.18662386359811,0.189,0.357,3.37752195355036e-65,"GRID2","Astrocyte"
1.66434834168614e-66,-1.17765663828356,0.125,0.281,1.80581795072946e-62,"NTRK3","Astrocyte"
2.17786173127201e-66,-1.37369539710824,0.083,0.224,2.36297997843013e-62,"TCF7L2","Astrocyte"
2.30838327403372e-66,-1.19959919116423,0.219,0.381,2.50459585232658e-62,"DPP6","Astrocyte"
7.05487125414206e-66,-1.32653689446234,0.099,0.246,7.65453531074414e-62,"ZNF462","Astrocyte"
1.65326001582846e-65,-0.850924873967127,0.218,0.397,1.79378711717388e-61,"PARK2","Astrocyte"
1.92483889244296e-65,-1.44259584376148,0.079,0.216,2.08845019830062e-61,"SERPINE2","Astrocyte"
5.64448288915679e-65,-1.4562781019582,0.078,0.214,6.12426393473512e-61,"AGBL4","Astrocyte"
8.18091858090216e-65,-0.817323435324763,0.245,0.427,8.87629666027885e-61,"PRKCA","Astrocyte"
8.49756239849729e-65,-1.55511843103433,0.074,0.207,9.21985520236956e-61,"EPHA6","Astrocyte"
1.53536080699044e-64,-0.834571117112483,0.365,0.536,1.66586647558463e-60,"ANKS1B","Astrocyte"
9.23384286328568e-64,-0.83075561002582,0.22,0.398,1.0018719506665e-59,"CHD9","Astrocyte"
1.42470041802309e-63,-1.1897947098176,0.108,0.256,1.54579995355505e-59,"CRB1","Astrocyte"
1.75997066940029e-63,-1.15303630402138,0.136,0.291,1.90956817629931e-59,"FGFR3","Astrocyte"
7.02854510927683e-63,-1.56007641731876,0.116,0.255,7.62597144356536e-59,"TNR","Astrocyte"
9.92632417515444e-63,0.321758545737041,0.763,0.522,1.07700617300426e-58,"PLP1","Astrocyte"
1.1993448375408e-62,-1.59369650719013,0.086,0.219,1.30128914873177e-58,"GPC6","Astrocyte"
1.20012616121697e-62,-1.2148015978079,0.103,0.246,1.30213688492041e-58,"ENTPD1-AS1","Astrocyte"
3.47354327708591e-62,-1.03872314666989,0.129,0.283,3.76879445563822e-58,"ATP1A2","Astrocyte"
3.9187751214665e-62,-1.09700927020426,0.162,0.32,4.25187100679115e-58,"DLGAP1","Astrocyte"
5.81029976010463e-62,-1.12466298221074,0.14,0.293,6.30417523971352e-58,"PRKG1","Astrocyte"
5.86114780793905e-62,-0.851468663520517,0.219,0.392,6.35934537161387e-58,"ASTN2","Astrocyte"
6.50533985485626e-62,-0.794835225575265,0.237,0.413,7.05829374251904e-58,"NFIB","Astrocyte"
1.3596991787735e-61,-0.674092609214812,0.342,0.531,1.47527360896925e-57,"AUTS2","Astrocyte"
2.28837614201927e-61,0.832611239695473,0.446,0.279,2.48288811409091e-57,"CLDND1","Astrocyte"
9.29082688779843e-61,-0.78525679912162,0.214,0.39,1.00805471732613e-56,"MBD5","Astrocyte"
1.33751136309819e-60,-1.1729294720964,0.108,0.251,1.45119982896153e-56,"FOXN3","Astrocyte"
2.01791568153408e-60,-0.990471698752997,0.156,0.312,2.18943851446448e-56,"SYNE1","Astrocyte"
1.90352541517287e-59,-0.796119276880977,0.225,0.396,2.06532507546256e-55,"GNAQ","Astrocyte"
2.68425153927081e-59,-1.75911448592496,0.17,0.306,2.91241292010883e-55,"LHFPL3","Astrocyte"
3.79828414167447e-58,-1.38725178515589,0.08,0.207,4.1211382937168e-54,"ABI1","Astrocyte"
4.99677446030396e-58,-1.89958828525698,0.142,0.272,5.4215002894298e-54,"PCDH15","Astrocyte"
6.17699938115654e-58,1.47475908700784,0.206,0.085,6.70204432855485e-54,"MYO9B","Astrocyte"
9.10949579909665e-58,-1.47382382442592,0.161,0.3,9.88380294201986e-54,"DSCAM","Astrocyte"
1.87006041912421e-57,-1.31911696944081,0.076,0.202,2.02901555474977e-53,"ATP13A4","Astrocyte"
2.18227454722186e-57,-1.05655387425074,0.129,0.274,2.36776788373572e-53,"SPATA6","Astrocyte"
2.79737752836915e-57,0.745999745656596,0.531,0.378,3.03515461828053e-53,"PIP4K2A","Astrocyte"
3.37127503456453e-57,-1.24095697574617,0.093,0.225,3.65783341250252e-53,"TRAF3IP2-AS1","Astrocyte"
7.97556861925964e-57,-1.52184658242441,0.178,0.316,8.6534919518967e-53,"OPCML","Astrocyte"
1.29080272372777e-56,-1.2079619405171,0.104,0.239,1.40052095524463e-52,"ASPH","Astrocyte"
1.38361000851317e-56,1.54981814404823,0.208,0.088,1.50121685923679e-52,"WASH1","Astrocyte"
2.00907358723418e-56,-0.489143227016503,0.464,0.657,2.17984484214909e-52,"WWOX","Astrocyte"
2.92920472521005e-56,-1.00173173075485,0.18,0.332,3.17818712685291e-52,"FGF14","Astrocyte"
3.52860870297818e-56,-1.16125287951475,0.091,0.222,3.82854044273133e-52,"ZNRF3","Astrocyte"
1.12360312959998e-55,-0.754643605247054,0.227,0.394,1.21910939561598e-51,"GRIA2","Astrocyte"
1.24264259450297e-55,-1.07643293616607,0.137,0.28,1.34826721503572e-51,"ZFYVE16","Astrocyte"
1.53818049948542e-55,1.05235768771435,0.347,0.201,1.66892584194168e-51,"AMER2","Astrocyte"
1.99528360986134e-55,-1.09339978733231,0.108,0.244,2.16488271669956e-51,"FRMD4A","Astrocyte"
4.3804372184413e-55,-1.17816542634791,0.231,0.375,4.75277438200881e-51,"LRRTM4","Astrocyte"
9.9681406144922e-55,-1.15704423892541,0.091,0.22,1.0815432566724e-50,"FLRT2","Astrocyte"
1.01556164124562e-54,1.32363963739255,0.236,0.109,1.1018843807515e-50,"ANLN","Astrocyte"
1.49454508857957e-54,-0.564898529080752,0.45,0.62,1.62158142110883e-50,"CDH20","Astrocyte"
9.02371390859392e-54,-1.03615515718247,0.107,0.241,9.79072959082441e-50,"GLIS3","Astrocyte"
1.75638211516058e-53,-1.16501537542579,0.098,0.227,1.90567459494922e-49,"NR3C2","Astrocyte"
2.1684746634137e-53,-0.45240167438707,0.687,0.822,2.35279500980387e-49,"DLG2","Astrocyte"
4.02863047544306e-53,-0.778272086870509,0.211,0.367,4.37106406585572e-49,"NAV2","Astrocyte"
4.58856528634853e-53,-1.06441032171799,0.114,0.248,4.97859333568816e-49,"AHCYL2","Astrocyte"
9.08931974462083e-53,-1.09357152651957,0.114,0.246,9.8619119229136e-49,"ITM2C","Astrocyte"
9.99751989986806e-53,0.975297574633807,0.408,0.267,1.08473090913568e-48,"PRUNE2","Astrocyte"
1.35235901440233e-52,-1.20285918545396,0.088,0.211,1.46730953062653e-48,"CEP85L","Astrocyte"
3.0730859136765e-52,-0.938380823691348,0.148,0.29,3.33429821633901e-48,"RPS6KA2","Astrocyte"
4.46408353933223e-52,-0.776685740093386,0.175,0.329,4.84353064017546e-48,"LPP","Astrocyte"
6.14190736810795e-52,-1.34611500995153,0.108,0.234,6.66396949439712e-48,"GRM7","Astrocyte"
6.38996735303985e-52,-1.06372863848276,0.11,0.241,6.93311457804823e-48,"LDLRAD4","Astrocyte"
1.07964696088966e-51,-1.33733482738203,0.099,0.222,1.17141695256528e-47,"MMP16","Astrocyte"
1.33932810287817e-51,0.945105094546185,0.423,0.287,1.45317099162282e-47,"SGK1","Astrocyte"
1.41722627465473e-51,0.980600794111469,0.34,0.2,1.53769050800039e-47,"NFASC","Astrocyte"
2.64879707024843e-51,1.28038738923073,0.274,0.146,2.87394482121955e-47,"MT-ND3","Astrocyte"
3.59695849582798e-51,-1.06289523410207,0.095,0.221,3.90269996797336e-47,"TMEM132C","Astrocyte"
4.29641416789531e-51,-0.860144168269843,0.167,0.314,4.66160937216641e-47,"S100B","Astrocyte"
5.46069260650213e-51,1.02405956008513,0.354,0.22,5.92485147805481e-47,"SEPW1","Astrocyte"
8.69320979632255e-51,-1.56342780076038,0.091,0.209,9.43213262900996e-47,"NXPH1","Astrocyte"
9.30436828699617e-51,-1.01707967119612,0.112,0.243,1.00952395913908e-46,"STXBP5","Astrocyte"
1.65767716233886e-50,-1.10153490482999,0.099,0.225,1.79857972113766e-46,"CHPT1","Astrocyte"
6.25352581214018e-50,1.33083909338487,0.267,0.145,6.7850755061721e-46,"RAPGEF3","Astrocyte"
7.08707939275917e-50,-0.987562388818946,0.137,0.273,7.68948114114369e-46,"ZHX3","Astrocyte"
8.40910586896441e-50,-1.10967860649004,0.102,0.226,9.12387986782639e-46,"TPD52L1","Astrocyte"
9.85471662291089e-50,-0.714748782942773,0.215,0.371,1.06923675358583e-45,"PPP1R9A","Astrocyte"
1.09061285944228e-49,0.92932153271549,0.482,0.369,1.18331495249488e-45,"NDRG2","Astrocyte"
2.51689257034399e-49,0.736594762051161,0.442,0.289,2.73082843882323e-45,"CLDN11","Astrocyte"
4.1224907863152e-49,-0.919848466521265,0.168,0.308,4.472902503152e-45,"RBFOX1","Astrocyte"
1.02683924536124e-48,-1.06627202247961,0.127,0.256,1.11412058121694e-44,"SFXN5","Astrocyte"
1.80897858251807e-48,-1.03497401335008,0.156,0.29,1.9627417620321e-44,"KCND2","Astrocyte"
3.17631529128307e-48,-0.928698978301083,0.157,0.295,3.44630209104214e-44,"TTYH1","Astrocyte"
4.50688494124342e-48,0.798420444707526,0.425,0.284,4.88997016124911e-44,"APLP1","Astrocyte"
5.45188303755789e-48,-0.733396117464075,0.208,0.358,5.91529309575031e-44,"TRIM9","Astrocyte"
6.28852166463303e-48,-0.646689212640093,0.256,0.414,6.82304600612684e-44,"PSD3","Astrocyte"
6.53607065187452e-48,0.570104468079677,0.594,0.454,7.09163665728386e-44,"EDIL3","Astrocyte"
1.22941184860798e-47,-0.863005709095119,0.132,0.265,1.33391185573966e-43,"AQP4","Astrocyte"
1.64454100316203e-47,-0.81989267102316,0.183,0.325,1.7843269884308e-43,"MEIS2","Astrocyte"
